rank,sample_id,category,priority_score,disposition,non_abstained_signals,exact_joint_matches,reference_conflict_type,reference_revision_action,llm_conflict_type,llm_revision_action,llm_abstained,llm_exact_joint_match,rules_conflict_type,rules_revision_action,rules_abstained,rules_exact_joint_match,requires_claim_limitation,triage_reason
1,F0186,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,definition,clarify_definition,false,false,entity,requalify_entity,false,false,true,two non-abstaining machine signals disagree with the construction reference
2,F0207,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,entity,requalify_entity,false,false,true,two non-abstaining machine signals disagree with the construction reference
3,F0208,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,entity,requalify_entity,false,false,true,two non-abstaining machine signals disagree with the construction reference
4,F0212,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,definition,clarify_definition,false,false,true,two non-abstaining machine signals disagree with the construction reference
5,F0229,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
6,F0230,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,entity,requalify_entity,false,false,true,two non-abstaining machine signals disagree with the construction reference
7,F0234,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
8,F0238,causal_overclaim,166,machine_disputed,2,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,source_reliability,prefer_reliable_source,false,false,true,two non-abstaining machine signals disagree with the construction reference
9,F0121,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,definition,clarify_definition,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
10,F0122,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
11,F0124,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
12,F0127,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
13,F0130,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
14,F0134,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
15,F0139,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
16,F0141,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
17,F0143,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
18,F0150,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,causal,downgrade_causal_to_correlation,false,false,true,two non-abstaining machine signals disagree with the construction reference
19,F0152,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
20,F0154,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,definition,qualify_uncertainty,false,false,definition,clarify_definition,false,false,true,two non-abstaining machine signals disagree with the construction reference
21,F0157,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
22,F0161,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
23,F0165,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,definition,clarify_definition,false,false,causal,downgrade_causal_to_correlation,false,false,true,two non-abstaining machine signals disagree with the construction reference
24,F0166,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
25,F0170,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
26,F0173,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
